광역지자체,기초지자체,광역지자체 검색건수,광역지자체 검색건수 비율,기초지자체 검색건수,기초지자체 검색건수 비율
강원도,강릉시,23965710,8.3,4581271,19.1
강원도,고성군,23965710,8.3,1373749,5.7
강원도,동해시,23965710,8.3,571034,2.4
강원도,삼척시,23965710,8.3,1081557,4.5
강원도,속초시,23965710,8.3,3798515,15.8
강원도,양구군,23965710,8.3,85730,0.4
강원도,양양군,23965710,8.3,1682354,7.0
강원도,영월군,23965710,8.3,397845,1.7
강원도,원주시,23965710,8.3,1834314,7.7
강원도,인제군,23965710,8.3,440086,1.8
강원도,정선군,23965710,8.3,1246176,5.2
강원도,철원군,23965710,8.3,255121,1.1
강원도,춘천시,23965710,8.3,2423432,10.1
강원도,태백시,23965710,8.3,235323,1.0
강원도,평창군,23965710,8.3,1854771,7.7
강원도,홍천군,23965710,8.3,1377383,5.7
강원도,화천군,23965710,8.3,125348,0.5
강원도,횡성군,23965710,8.3,601701,2.5
경기도,가평군,81041546,28.0,2308383,2.8
경기도,고양시 덕양구,81041546,28.0,3910675,4.8
경기도,고양시 일산동구,81041546,28.0,2438063,3.0
경기도,고양시 일산서구,81041546,28.0,1955030,2.4
경기도,과천시,81041546,28.0,1003900,1.2
경기도,광명시,81041546,28.0,1920756,2.4
경기도,광주시,81041546,28.0,2345310,2.9
경기도,구리시,81041546,28.0,1264597,1.6
경기도,군포시,81041546,28.0,432318,0.5
경기도,김포시,81041546,28.0,2866129,3.5
경기도,남양주시,81041546,28.0,3851216,4.8
경기도,동두천시,81041546,28.0,272184,0.3
경기도,부천시,81041546,28.0,2183278,2.7
경기도,성남시 분당구,81041546,28.0,3224220,4.0
경기도,성남시 수정구,81041546,28.0,694971,0.9
경기도,성남시 중원구,81041546,28.0,371511,0.5
경기도,수원시 권선구,81041546,28.0,1287943,1.6
경기도,수원시 영통구,81041546,28.0,2051641,2.5
경기도,수원시 장안구,81041546,28.0,797066,1.0
경기도,수원시 팔달구,81041546,28.0,2059019,2.5
경기도,시흥시,81041546,28.0,2618485,3.2
경기도,안산시 단원구,81041546,28.0,1786070,2.2
경기도,안산시 상록구,81041546,28.0,752262,0.9
경기도,안성시,81041546,28.0,1479838,1.8
경기도,안양시 동안구,81041546,28.0,968390,1.2
경기도,안양시 만안구,81041546,28.0,681386,0.8
경기도,양주시,81041546,28.0,1363363,1.7
경기도,양평군,81041546,28.0,2031093,2.5
경기도,여주시,81041546,28.0,2234834,2.8
경기도,연천군,81041546,28.0,384092,0.5
