광역지자체,방문자 수,전년도 방문자 수
서울특별시,4.87463395E8,4.8606368E8
부산광역시,1.24393966E8,1.25355958E8
대구광역시,8.7781593E7,8.6338895E7
인천광역시,1.36489732E8,1.37306507E8
광주광역시,5.6320473E7,5.668965E7
대전광역시,6.9189201E7,6.9557253E7
울산광역시,4.3034413E7,4.3482816E7
세종특별자치시,2.54132E7,2.3948388E7
경기도,5.5253129E8,5.50763372E8
강원도,1.30321244E8,1.31296509E8
충청북도,9.6267132E7,9.3486231E7
충청남도,1.42810037E8,1.38698894E8
전라북도,8.32992E7,8.3939339E7
전라남도,1.14910137E8,1.10730837E8
경상북도,1.61590338E8,1.52858211E8
경상남도,1.40785495E8,1.39633588E8
제주특별자치도,5.9563739E7,4.6601527E7
